,first_language,funding,school,fast_track,coop,residency,gender,prev_education,age_group,english_grade,first_term_gpa,second_term_gpa,high_school_average_mark,math_score
176,1,2,6,2,2,1,2,1,3,7,0.24,0.0,59.5,17.0
177,3,4,6,2,2,2,2,2,1,8,2.722222,2.659091,79.33,21.0
178,3,4,6,1,2,2,2,1,3,7,2.55,2.772727,72.52,35.56
179,3,2,6,2,1,1,1,2,5,4,3.5,3.416667,80.0,43.0
180,3,4,6,1,2,2,1,2,3,8,3.06,2.538462,80.47,35.31
181,3,4,6,1,2,2,2,2,3,10,2.525,2.261905,79.62,34.0
182,1,2,6,2,1,1,2,1,1,7,0.54,0.9427809899999996,66.0,24.0
183,3,2,6,2,2,1,1,2,3,10,3.568182,3.763158,94.0,38.0
184,1,2,6,2,2,1,2,1,1,7,3.272727,1.5,76.0,26.94
185,3,4,6,1,2,2,2,1,3,10,2.521739,2.7,80.05,36.3
186,3,5,6,2,2,2,2,1,5,8,4.065217,3.934783,80.78,49.0
187,3,4,6,1,2,2,2,1,3,7,3.222222,3.448276,84.59,43.42
188,3,4,6,2,2,2,2,0,6,10,4.159091,4.236842,84.08,48.0
189,3,4,6,2,2,2,1,2,2,8,0.0,0.04386904,71.64,34.05
190,1,2,6,2,2,1,1,1,3,9,2.357143,2.970588,81.0,32.0
191,1,2,6,2,2,1,1,2,3,9,4.194444,4.055556,94.0,36.47
192,1,2,6,2,2,1,1,2,3,9,4.095238,4.222222,102.0,34.94
193,3,4,6,2,2,2,2,1,3,8,3.729167,3.729167,88.9,45.0
194,3,2,6,2,2,1,2,1,3,7,3.454545,2.825903319999999,78.0,23.0
195,3,2,6,2,1,1,1,1,1,7,3.08,2.65,85.0,35.0
196,3,2,6,2,2,1,1,2,6,4,3.5,2.846154,87.49,47.0
197,1,2,6,2,1,1,2,2,3,9,3.0,2.7044892700000003,83.0,26.0
198,3,4,6,2,2,2,2,1,2,7,2.447368,2.394737,73.52,36.86
199,3,2,6,2,2,1,2,1,2,4,0.0,0.05695585,55.0,12.0
200,1,2,6,2,2,1,2,1,1,7,0.0,0.0,72.0,29.0
201,1,2,6,2,2,1,1,2,3,9,2.9,3.0,68.0,19.56
202,1,2,6,2,1,1,1,2,6,9,2.2,3.125,66.54,19.0
203,1,1,6,2,1,1,2,1,1,9,2.1,0.596154,71.0,22.0
204,1,2,6,2,2,1,2,2,3,9,2.04,1.159091,73.0,32.0
205,1,2,6,2,1,1,2,1,2,8,1.26087,1.1499658000000004,75.0,21.0
206,1,2,6,2,2,1,2,1,3,9,3.02,2.15,82.0,48.0
207,1,2,6,1,2,1,2,2,3,10,3.913043,2.833333,83.66,32.29
208,3,4,6,2,1,2,2,1,2,8,3.73913,3.809524,92.0,47.0
209,1,8,6,2,2,1,2,0,9,7,3.159091,3.409091,82.96,41.0
210,1,2,6,2,2,1,2,2,3,9,4.5,4.333333,104.0,39.72
211,3,4,6,2,2,2,2,1,2,10,2.472222,2.65625,88.0,42.0
212,3,4,6,2,2,2,2,1,1,9,3.021739,3.833333,82.82,39.0
213,1,2,6,2,2,1,2,1,1,7,1.9613134000000008,1.5831424700000005,66.0,17.0
214,3,4,6,1,2,2,2,2,3,8,3.759259,4.019231,94.1,46.92
215,1,2,6,2,1,1,1,1,1,9,4.22,4.136364,92.0,47.0
216,1,2,6,2,2,1,2,0,3,9,0.32,0.0483769,53.0,15.0
217,3,4,6,1,2,2,2,2,3,10,3.73913,3.571429,88.35,44.91
218,3,4,6,1,2,2,2,1,3,7,2.15,2.01817457,71.3,31.54
219,1,2,6,2,2,1,2,1,1,7,2.428571,1.0,63.0,21.0
220,3,4,6,2,2,2,1,1,2,4,3.434783,3.428571,82.41,37.0
221,3,4,6,1,2,2,2,2,3,8,1.535714,1.117647,68.95,25.91
222,3,2,6,2,1,1,2,2,3,8,0.705882,0.6613689399999997,70.29,47.0
223,3,2,6,2,2,1,1,2,5,8,4.113636,3.977273,89.0,46.0
